,Iterative timing,Recursive timing,Tail timing
2,1.1999982234556228e-06,1.3999997463542968e-06,1.0999974620062858e-06
3,9.999967005569488e-07,1.3999997463542968e-06,1.2999989849049598e-06
4,9.999967005569488e-07,2.1999985619913787e-06,1.6999983927235007e-06
5,1.0999974620062858e-06,2.1999985619913787e-06,1.5999976312741637e-06
6,1.4999968698248267e-06,2.0999978005420417e-06,1.5999976312741637e-06
7,1.1999982234556228e-06,2.1999985619913787e-06,1.5999976312741637e-06
8,1.1999982234556228e-06,2.8999966161791235e-06,1.9999970390927047e-06
9,1.1999982234556228e-06,2.9999973776284605e-06,1.9999970390927047e-06
10,1.1999982234556228e-06,2.9999973776284605e-06,1.9999970390927047e-06
11,1.1999982234556228e-06,2.9999973776284605e-06,1.9999970390927047e-06
12,1.4999968698248267e-06,2.9999973776284605e-06,1.9999970390927047e-06
13,1.3999997463542968e-06,2.9999973776284605e-06,1.9999970390927047e-06
14,1.3999997463542968e-06,2.8999966161791235e-06,1.8999999156221747e-06
15,1.3999997463542968e-06,2.9999973776284605e-06,1.8999999156221747e-06
16,1.3999997463542968e-06,3.3999967854470015e-06,2.2999993234407157e-06
17,1.3999997463542968e-06,3.4999975468963385e-06,2.2999993234407157e-06
18,1.4999968698248267e-06,3.7999998312443495e-06,2.2999993234407157e-06
19,1.3999997463542968e-06,3.6999990697950125e-06,2.2999993234407157e-06
20,1.3999997463542968e-06,3.7999998312443495e-06,2.2999993234407157e-06
21,1.5999976312741637e-06,3.7999998312443495e-06,2.4999972083605826e-06
22,1.4999968698248267e-06,3.4999975468963385e-06,2.3999964469112456e-06
23,1.3999997463542968e-06,3.7999998312443495e-06,2.1999985619913787e-06
24,1.5999976312741637e-06,3.6999990697950125e-06,1.9999970390927047e-06
25,1.8999999156221747e-06,3.6999990697950125e-06,2.0000006770715117e-06
26,1.6999983927235007e-06,3.6999990697950125e-06,2.1999985619913787e-06
27,1.5999976312741637e-06,3.4999975468963385e-06,2.1999985619913787e-06
28,1.5999976312741637e-06,3.6999990697950125e-06,2.2999993234407157e-06
29,1.6999983927235007e-06,3.6999990697950125e-06,2.1999985619913787e-06
30,1.5999976312741637e-06,3.6999990697950125e-06,2.1999985619913787e-06
31,1.5999976312741637e-06,3.4999975468963385e-06,2.1999985619913787e-06
32,1.5999976312741637e-06,4.599998646881431e-06,2.4999972083605826e-06
33,1.6999983927235007e-06,4.399997123982757e-06,2.3999964469112456e-06
34,1.5999976312741637e-06,4.19999923906289e-06,2.2999993234407157e-06
35,1.6999983927235007e-06,4.599998646881431e-06,2.3999964469112456e-06
36,1.5999976312741637e-06,4.400000761961564e-06,2.3999964469112456e-06
37,1.5999976312741637e-06,4.499997885432094e-06,2.3999964469112456e-06
38,1.5999976312741637e-06,4.399997123982757e-06,2.3999964469112456e-06
39,1.5999976312741637e-06,4.399997123982757e-06,2.3999964469112456e-06
40,1.5999976312741637e-06,4.300000000512227e-06,2.5999979698099196e-06
41,1.4999968698248267e-06,4.399997123982757e-06,3.1999989005271345e-06
42,1.3999997463542968e-06,4.599998646881431e-06,3.0999981390777975e-06
43,1.6999983927235007e-06,4.399997123982757e-06,2.8999966161791235e-06
44,1.6999983927235007e-06,4.400000761961564e-06,2.8999966161791235e-06
45,1.6999983927235007e-06,4.499997885432094e-06,2.7999994927085936e-06
46,1.6999983927235007e-06,4.499997885432094e-06,2.7999994927085936e-06
47,1.6999983927235007e-06,4.399997123982757e-06,2.7000023692380637e-06
48,1.7999991541728377e-06,4.499997885432094e-06,2.5999979698099196e-06
49,1.7999991541728377e-06,4.399997123982757e-06,2.5999979698099196e-06
50,1.8999999156221747e-06,4.400000761961564e-06,2.5999979698099196e-06
51,1.8999999156221747e-06,4.400000761961564e-06,2.5999979698099196e-06
52,1.8999999156221747e-06,4.099998477613553e-06,2.5999979698099196e-06
53,1.8999999156221747e-06,4.399997123982757e-06,2.6999987312592566e-06
54,1.6999983927235007e-06,4.399997123982757e-06,2.6999987312592566e-06
55,1.8999999156221747e-06,4.400000761961564e-06,2.9000002541579306e-06
56,1.7999991541728377e-06,4.19999923906289e-06,2.7999994927085936e-06
57,1.8999999156221747e-06,4.19999923906289e-06,2.7999994927085936e-06
58,1.8999999156221747e-06,4.400000761961564e-06,2.6999987312592566e-06
59,2.1999985619913787e-06,4.399997123982757e-06,2.5999979698099196e-06
60,2.1999985619913787e-06,4.399997123982757e-06,2.5999979698099196e-06
61,2.3000029614195228e-06,4.599998646881431e-06,2.5999979698099196e-06
62,1.7999991541728377e-06,4.499997885432094e-06,2.5999979698099196e-06
63,1.6999983927235007e-06,4.400000761961564e-06,2.5999979698099196e-06
64,1.7999991541728377e-06,5.299996701069176e-06,2.9999973776284605e-06
65,1.7999991541728377e-06,4.799996531801298e-06,2.9999973776284605e-06
66,1.9999970390927047e-06,4.899997293250635e-06,2.9999973776284605e-06
67,1.7999991541728377e-06,5.199999577598646e-06,3.1000017770566046e-06
68,1.8999999156221747e-06,4.899997293250635e-06,3.0999981390777975e-06
69,1.8999999156221747e-06,5.299996701069176e-06,3.0999981390777975e-06
70,1.7999991541728377e-06,5.199999577598646e-06,3.1999989005271345e-06
71,1.7999991541728377e-06,5.199999577598646e-06,3.1000017770566046e-06
72,1.8999999156221747e-06,5.299996701069176e-06,2.9999973776284605e-06
73,1.7999991541728377e-06,5.199999577598646e-06,2.9999973776284605e-06
74,1.8999999156221747e-06,5.199999577598646e-06,2.9999973776284605e-06
75,1.8999999156221747e-06,5.199999577598646e-06,2.9999973776284605e-06
76,1.6999983927235007e-06,5.199999577598646e-06,2.9999973776284605e-06
