,Route,Direction,Model,MAE,RMSE
0,1,1,Linear Regression,25.164982003359455,37.962780336604425
1,1,2,Linear Regression,27.42162551277368,46.726630752688
2,1,1,Decision Tree,3.5472359502321895,9.82124510689715
3,1,2,Decision Tree,3.0402542687894676,8.988266232177097
4,1,1,Random Forest,18.411665698091173,31.551930146052655
5,1,2,Random Forest,20.678458299370806,35.662828637099146
0,13,1,Linear Regression,31.811332465120014,49.01096249732452
1,13,2,Linear Regression,28.96618735130664,44.99972499163213
2,13,1,Decision Tree,2.485242377059934,7.816454011697732
3,13,2,Decision Tree,3.1648200570467178,9.04435713290699
4,13,1,Random Forest,19.696610806522983,34.4353837473174
5,13,2,Random Forest,14.784633111022808,26.22626321541889
0,37,1,Linear Regression,31.099474429981463,46.10377689758094
1,37,2,Linear Regression,26.75976163988999,39.355523241205944
2,37,1,Decision Tree,2.633399260057177,8.26655080518445
3,37,2,Decision Tree,2.039456518068965,6.512769091792882
4,37,1,Random Forest,15.905116369256547,28.763333517327094
5,37,2,Random Forest,13.60959849521491,24.38709395078562
0,104,1,Linear Regression,23.023943928746526,36.26986177985882
1,104,2,Linear Regression,24.784813688003343,40.680437543048214
2,104,1,Decision Tree,0.3614810811619994,1.9157754263539881
3,104,2,Decision Tree,0.8704716405117809,3.885320658411418
4,104,1,Random Forest,10.516498106411953,20.506047895436865
5,104,2,Random Forest,11.641568574232103,23.70084895247864
0,11,1,Linear Regression,42.91837164331139,60.11572490257699
1,11,2,Linear Regression,25.51845727164327,41.68114886202652
2,11,1,Decision Tree,3.656162243360984,12.55067111772582
3,11,2,Decision Tree,2.0541168696561614,6.967768513249803
4,11,1,Random Forest,20.08499557973942,36.388314609671816
5,11,2,Random Forest,14.329970642433095,27.532204588702395
0,102,1,Linear Regression,21.350489665606542,34.033086156193214
1,102,2,Linear Regression,20.336934828128104,32.37084295503256
2,102,1,Decision Tree,1.5079162549182539,5.238720840828132
3,102,2,Decision Tree,1.3468524560576929,4.800091393495932
4,102,1,Random Forest,9.897641300101666,18.590805991061263
5,102,2,Random Forest,10.400292294355772,19.209073830044538
0,151,1,Linear Regression,25.57990018558878,38.55483332860051
1,151,2,Linear Regression,25.14964676165643,38.08902953866239
2,151,1,Decision Tree,3.1797976746899703,9.028490895181756
3,151,2,Decision Tree,2.8537429122983267,8.431785817811578
4,151,1,Random Forest,16.749860503513972,28.17845056463069
5,151,2,Random Forest,14.1757622660265,24.03484682994736
0,41,1,Linear Regression,36.353998660476435,55.691060981051336
1,41,2,Linear Regression,33.48217939718431,51.40117172181924
2,41,1,Decision Tree,2.7872419298350133,8.707570734018422
3,41,2,Decision Tree,3.1915172391206044,9.407051401399226
4,41,1,Random Forest,17.222888853643152,32.5288971907987
5,41,2,Random Forest,19.861364499515002,36.9867509227799
0,65,1,Linear Regression,23.37961220820056,44.46985196112552
1,65,2,Linear Regression,20.60312036094729,31.035842367779058
2,65,1,Decision Tree,0.4475413146387316,2.056055537782614
3,65,2,Decision Tree,0.4900916794918618,2.1032907875158804
4,65,1,Random Forest,13.202920930158902,28.189138067382167
5,65,2,Random Forest,16.27065843182366,27.242052719407116
0,7A,1,Linear Regression,29.485279088830644,43.62894390846239
1,7A,2,Linear Regression,32.469660722668195,50.26604370199746
2,7A,1,Decision Tree,1.8672736867023998,6.376072449554829
3,7A,2,Decision Tree,2.308304212643233,7.61947881738272
4,7A,1,Random Forest,16.02381572294474,28.014125214770726
5,7A,2,Random Forest,18.60995123006361,33.66604031375633
0,140,1,Linear Regression,32.23534024967841,51.200059396739675
1,140,2,Linear Regression,38.115022047127596,55.58080586816342
2,140,1,Decision Tree,4.584758693485441,11.955365523361792
3,140,2,Decision Tree,5.284493518516724,14.53303633655817
4,140,1,Random Forest,18.511564555255486,32.20266276710507
5,140,2,Random Forest,22.34901593205891,38.171107197180504
0,84,1,Linear Regression,25.949026864990245,40.628171468749976
1,84,2,Linear Regression,27.384266462967044,41.93495294157134
2,84,1,Decision Tree,0.586300563031446,2.75435141039875
3,84,2,Decision Tree,0.6869767788623258,3.2835813692431017
4,84,1,Random Forest,11.02023506318025,21.613723998546888
5,84,2,Random Forest,11.674169689099735,22.35542341585454
0,79A,1,Linear Regression,21.811256401557184,34.20981707488602
1,79A,2,Linear Regression,38.267951641804785,62.67563651523696
2,79A,1,Decision Tree,1.3824450235843937,4.905684486364945
3,79A,2,Decision Tree,1.4036964313071736,6.0952371251488495
4,79A,1,Random Forest,11.971893038748126,21.269081830481248
5,79A,2,Random Forest,15.792143436287267,32.133997591461195
0,15A,1,Linear Regression,48.70122891189135,65.89267415398093
1,15A,2,Linear Regression,29.808483787113378,44.38738606544033
2,15A,1,Decision Tree,2.3424380371094395,7.23120064283338
3,15A,2,Decision Tree,3.3107386053610353,9.90955358227444
4,15A,1,Random Forest,28.06554691799688,50.92233695063848
5,15A,2,Random Forest,17.097851319254737,28.414852132086807
0,17,1,Linear Regression,24.74867831767296,38.05708855357307
1,17,2,Linear Regression,22.65776198904835,34.73857632467941
2,17,1,Decision Tree,1.8889833333998216,6.633749322142722
3,17,2,Decision Tree,1.389320489782987,5.110574462756632
4,17,1,Random Forest,14.837374245395475,26.27487202199521
5,17,2,Random Forest,13.374053584230936,23.588791689409
0,44,1,Linear Regression,27.22092775289949,41.732718386563604
