,Route,Direction,Model,RMSE,MAE
0,239,1,lin_reg,179.64281855985612,70.23415382261707
1,239,1,decision Tree,20.42027824427351,4.455187681996995
2,239,1,random forest,57.569329993460045,18.023075098357335
0,33A,2,lin_reg,50.50321575577953,30.528463803807178
1,33A,2,decision Tree,3.492513267620897,0.7394796237750517
2,33A,2,random forest,17.817526104670034,7.148853375403943
0,270,1,lin_reg,126.0626581301587,62.58685994911715
1,270,1,decision Tree,17.902372591642276,2.9168663454508708
2,270,1,random forest,44.08367349789998,13.49461715401427
0,1,1,lin_reg,54.844294283441535,31.86389547593194
1,1,1,decision Tree,31.477891161371705,17.64754680226213
2,1,1,random forest,34.973976221406915,19.390461610323058
0,76A,1,lin_reg,123.2871355470451,49.453096784944194
1,76A,1,decision Tree,3.053563084890688,0.3872241287412799
2,76A,1,random forest,41.61268232992316,17.01662851044987
0,40B,2,lin_reg,60.5451775063012,30.0727799504503
1,40B,2,decision Tree,8.901532440633801,2.3975059012936213
2,40B,2,random forest,31.316745572816558,11.97175151002417
0,83,1,lin_reg,58.337006283502554,31.33795644104656
1,83,1,decision Tree,34.001662208840266,17.163027028589337
2,83,1,random forest,37.94591364688612,18.92290403467398
0,84,2,lin_reg,89.19443762141167,36.4412173247867
1,84,2,decision Tree,23.82616565523985,7.462751108192656
2,84,2,random forest,38.46911201832016,14.472736306643988
0,9,1,lin_reg,51.255136737859814,30.67251027885193
1,9,1,decision Tree,33.014271335170804,18.62845746103337
2,9,1,random forest,35.31359342767907,19.708467008555896
0,111,2,lin_reg,100.1273869411388,40.04857370098108
1,111,2,decision Tree,18.2521121491814,5.162761034088414
2,111,2,random forest,46.59129718078393,14.028631240641005
0,75,1,lin_reg,50.09180064466765,26.525091055351044
1,75,1,decision Tree,28.362353877092033,11.827337946238536
2,75,1,random forest,33.61969684395534,14.368474543050226
0,66B,1,lin_reg,92.44660698537446,34.6462596994516
1,66B,1,decision Tree,31.909333900579693,6.407039933106086
2,66B,1,random forest,50.86474544815997,15.197562772909302
0,32,1,lin_reg,35.494962821609505,21.3645952963073
1,32,1,decision Tree,18.21641628899545,9.08792881427447
2,32,1,random forest,22.321024738508562,12.247832877901802
0,79,2,lin_reg,57.554708067787814,31.263362794344495
1,79,2,decision Tree,32.07619366675194,14.234340612394929
2,79,2,random forest,38.48797884276958,17.852581762732623
0,17,2,lin_reg,45.45411073988435,27.77951286577572
1,17,2,decision Tree,24.01157895780823,12.20501558149373
2,17,2,random forest,28.577570283827733,15.28047587286653
0,31A,2,lin_reg,31.22943113035886,18.652572396704638
1,31A,2,decision Tree,12.422461604076709,6.038821316045767
2,31A,2,random forest,19.04035755471276,10.21491431601549
0,27,2,lin_reg,65.01569299562857,29.458789743145992
1,27,2,decision Tree,44.38052105694258,19.66054734080455
2,27,2,random forest,47.08962212153292,20.49940197271726
0,69,1,lin_reg,47.46696860886072,24.719104114055693
1,69,1,decision Tree,11.836273213065537,4.2725817123950645
2,69,1,random forest,25.09773455363088,11.332259840103417
0,185,1,lin_reg,71.33003700134907,32.83430411759609
1,185,1,decision Tree,23.061427269689517,6.820200617088295
2,185,1,random forest,38.11727623343791,14.855993221924647
0,41B,2,lin_reg,61.70854006727093,31.30161297632232
1,41B,2,decision Tree,7.428757564689813,1.667657774313611
2,41B,2,random forest,33.671319055128535,12.95677736702252
0,270,2,lin_reg,71.47877717610773,32.46293755142403
1,270,2,decision Tree,17.197734871461897,3.8037951036972815
2,270,2,random forest,40.53395742203225,13.684409076820955
0,70,1,lin_reg,123.81841165453103,47.36532802839646
1,70,1,decision Tree,50.50044519238271,14.819771347311185
2,70,1,random forest,67.15747994465121,22.13854182388335
0,40E,1,lin_reg,80.34835600336115,34.62914421889975
1,40E,1,decision Tree,32.49773910444758,5.699528876868937
2,40E,1,random forest,42.81187060351351,10.587845699615773
0,56A,2,lin_reg,43.79101322959458,24.57273401176272
1,56A,2,decision Tree,19.938648398129423,8.440110380982592
2,56A,2,random forest,27.70535281765471,13.606695627548623
0,46E,2,lin_reg,73.91317946060252,44.48401980100219
1,46E,2,decision Tree,18.278287189027008,3.047505298899368
2,46E,2,random forest,41.90980468105106,18.886146032362436
0,65B,1,lin_reg,70.8094134500733,26.594879662855284
1,65B,1,decision Tree,29.15329742209748,8.215685075094413
2,65B,1,random forest,45.560113880479314,13.898639128262394
0,17A,2,lin_reg,52.195322812263946,26.8475793956751
1,17A,2,decision Tree,32.94860821680345,14.785895838792428
2,17A,2,random forest,37.61061573560072,16.30275083261641
0,161,2,lin_reg,97.33390668177671,40.62997201318041
1,161,2,decision Tree,6.781266877074955,0.5628112092076882
2,161,2,random forest,34.225086411366746,11.197068862632772
0,15D,2,lin_reg,59.530770839741244,43.7262370489927
1,15D,2,decision Tree,3.46313462480783,0.6676668226770947
2,15D,2,random forest,25.44191673077671,15.299626601851253
0,16D,1,lin_reg,44.34785902040679,33.46048401631936
1,16D,1,decision Tree,17.188872910356125,9.166817882381125
2,16D,1,random forest,22.85950375925179,14.479033105262108
0,65,2,lin_reg,95.65671485334884,29.093916778324473
1,65,2,decision Tree,18.500247626147157,6.529266289413972
2,65,2,random forest,37.62493678644932,11.438429741403773
0,40D,2,lin_reg,42.603857514131086,27.173889504853374
1,40D,2,decision Tree,24.318646100230925,13.068062933139737
2,40D,2,random forest,27.640388080178028,15.118285330048055
0,51X,2,lin_reg,76.66224984191565,38.92052109079907
1,51X,2,decision Tree,2.4235478580344867,0.47358592316891496
2,51X,2,random forest,40.99615187763949,15.254780416028899
0,49,2,lin_reg,88.5107713094225,39.98857942528721
1,49,2,decision Tree,41.48304513999078,15.02552874714229
2,49,2,random forest,52.68099058862195,19.890379206532433
0,59,1,lin_reg,33.158681879996294,19.267288629494008
1,59,1,decision Tree,6.623530710074251,2.478251811979465
2,59,1,random forest,17.841295940863485,8.221491698380344
0,77A,2,lin_reg,49.23990195334368,28.334770906354237
1,77A,2,decision Tree,34.46364549473363,18.970025040324728
2,77A,2,random forest,35.966761476410554,19.61569193309229
0,114,1,lin_reg,51.107540304649135,31.023796710091894
1,114,1,decision Tree,16.310881519965562,6.0119256948575535
2,114,1,random forest,27.222665226065455,13.064490479349336
0,67,1,lin_reg,51.29632213474202,27.22209799269046
1,67,1,decision Tree,23.537999279494183,12.022477182739753
2,67,1,random forest,28.58896419605151,14.340779462988236
0,68,1,lin_reg,44.214135412265236,23.070811332251864
1,68,1,decision Tree,17.19878100530366,8.231180134503704
2,68,1,random forest,26.5128104012038,12.439079742545271
0,54A,1,lin_reg,52.385939047182625,28.071196927794524
1,54A,1,decision Tree,26.43528493193839,12.096372442087938
2,54A,1,random forest,34.409525461845305,16.097263746613695
0,111,1,lin_reg,56.23638635042328,28.051226946977604
1,111,1,decision Tree,15.80315537105186,5.1704500366614
2,111,1,random forest,29.81092411600108,11.769930767967706
0,39,1,lin_reg,57.28122702188494,32.4798101181224
1,39,1,decision Tree,27.144602970676523,13.90393537769592
2,39,1,random forest,33.67792124881666,16.73345513315879
0,7,1,lin_reg,108.74378210782199,45.06359297106222
1,7,1,decision Tree,54.24918880431383,20.865082245564953
2,7,1,random forest,65.92755041587088,24.694059990906865
0,4,1,lin_reg,53.83905946425208,31.189535365551407
1,4,1,decision Tree,32.79094312872687,18.569363954475747
2,4,1,random forest,36.235415559951775,20.347993586546938
0,38D,2,lin_reg,48.078529631021865,35.802748692895264
1,38D,2,decision Tree,0.0,0.0
2,38D,2,random forest,20.729365451333294,11.710057988402317
0,238,2,lin_reg,53.542063581391034,28.36324940776568
1,238,2,decision Tree,11.307852806375935,3.2302832092769274
2,238,2,random forest,26.990647479460918,10.409343879368517
0,66B,2,lin_reg,66.87071810613986,32.11658191370969
1,66B,2,decision Tree,19.181675181082685,5.312855266092689
2,66B,2,random forest,34.11484219733622,13.37682792893529
0,33D,1,lin_reg,48.69623651479398,29.592253035614068
1,33D,1,decision Tree,0.07249313936680668,0.0039039039039039047
2,33D,1,random forest,24.946649606241248,11.340885885885886
0,114,2,lin_reg,59.48341422021123,33.29327467759329
1,114,2,decision Tree,12.642330092891868,4.237519741289323
2,114,2,random forest,28.49264063516726,12.777615847625164
0,44,2,lin_reg,58.96520110574336,29.355124823886484
1,44,2,decision Tree,22.164894654012556,9.603755168967666
2,44,2,random forest,32.67790273381042,15.189276686783606
0,54A,2,lin_reg,80.44259704075132,38.42720563591242
1,54A,2,decision Tree,37.26158664378533,14.810985294823103
2,54A,2,random forest,46.60343387372049,19.321770332420947
0,41X,2,lin_reg,51.92298062747288,32.474361459013245
1,41X,2,decision Tree,29.22855757988221,17.335721984693578
2,41X,2,random forest,33.5451147198003,20.53171172140829
0,66X,1,lin_reg,49.098476647922546,35.07081354464156
1,66X,1,decision Tree,22.831341423074623,14.247846549725043
2,66X,1,random forest,26.484000388171598,17.198872495096477
0,184,1,lin_reg,39.98573085169372,21.814905721986666
1,184,1,decision Tree,20.426688967215952,8.565702034008567
2,184,1,random forest,24.90409319802161,10.999806211773647
0,77X,2,lin_reg,59.126291656359705,35.03982203167126
1,77X,2,decision Tree,2.3255432769049245,0.40118387086281015
2,77X,2,random forest,30.196902966880877,12.599843544493016
0,142,1,lin_reg,94.522694059746,43.625444540194046
1,142,1,decision Tree,22.665004111952687,11.977316070935638
2,142,1,random forest,29.652381273654843,16.0693102169917
0,67X,1,lin_reg,40.53950813187563,27.944285326275963
1,67X,1,decision Tree,20.28908283910672,12.353459426375979
2,67X,1,random forest,23.598363340099073,14.995280285648079
0,63,1,lin_reg,91.3510330588111,37.11020625280044
1,63,1,decision Tree,45.367207964946694,14.04917967668143
2,63,1,random forest,57.08328604704696,19.325762953227244
0,236,2,lin_reg,63.04953990345019,38.56355845312058
1,236,2,decision Tree,5.171855417969127,0.23181938131858917
2,236,2,random forest,26.303919124709306,11.295628911603943
0,40,2,lin_reg,47.322604275455525,27.157493528499295
1,40,2,decision Tree,33.547185344864964,18.696704810756614
2,40,2,random forest,35.32210975100526,19.23108264167436
0,31D,2,lin_reg,41.14254653427033,28.148950276893824
1,31D,2,decision Tree,0.9878524824711433,0.08970221874755353
2,31D,2,random forest,18.944966913714694,9.747126342209109
0,9,2,lin_reg,50.6049579596288,28.170709525786677
1,9,2,decision Tree,37.156864577403184,19.662603746824335
2,9,2,random forest,39.06852748624378,20.374737624822846
0,123,1,lin_reg,61.01957362850919,34.99326036957616
1,123,1,decision Tree,45.978226815405584,24.5565613435523
2,123,1,random forest,47.525680064671015,25.007392832560743
0,27X,2,lin_reg,36.6765994792622,25.919323997666726
1,27X,2,decision Tree,4.629659854779153,1.0992844555998569
2,27X,2,random forest,17.357991012937415,10.223213733926624
0,25X,1,lin_reg,47.50613564895418,33.91757052641983
1,25X,1,decision Tree,3.346031988568509,0.5072198394209738
2,25X,1,random forest,20.91708142913507,12.185863115076247
0,33D,2,lin_reg,55.98215456246076,36.98778801893224
1,33D,2,decision Tree,0.0,0.0
2,33D,2,random forest,25.514726002998337,10.125750984048063
0,67,2,lin_reg,62.12085800044229,29.582268454839685
1,67,2,decision Tree,30.938054741079124,12.572133031801563
2,67,2,random forest,38.1112085630053,15.461390676939203
0,25B,2,lin_reg,70.4232169267042,37.03489417547903
1,25B,2,decision Tree,38.921281631952944,18.78086201762353
2,25B,2,random forest,45.999672006615846,22.15023076619596
0,7B,2,lin_reg,44.51536227089133,31.445967255077328
1,7B,2,decision Tree,19.16779107503783,10.644250703572048
2,7B,2,random forest,25.586088908824138,16.091362143049345
