weather_date,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,ww,w,sun,vis,clht,clamt
2018-01-01 00:00:00,0.1,4.0,3.2,2.0,7.0,87,991.3,20,220,60,61,0.0,20000,38,7
2018-01-01 01:00:00,0.0,4.3,3.5,2.4,7.2,87,991.4,22,220,21,62,0.0,25000,26,7
2018-01-01 02:00:00,0.0,4.3,3.5,2.2,7.2,87,991.3,20,220,21,62,0.0,25000,33,6
2018-01-01 03:00:00,0.0,4.7,3.9,2.6,7.4,87,991.1,20,220,1,61,0.0,25000,999,3
2018-01-01 04:00:00,0.0,4.8,3.9,2.6,7.4,86,990.8,20,220,2,11,0.0,20000,999,2
2018-01-01 05:00:00,0.0,4.7,3.7,2.2,7.2,84,990.4,20,220,2,11,0.0,20000,250,5
2018-01-01 06:00:00,0.0,4.4,3.5,2.2,7.1,85,990.2,18,220,3,61,0.0,20000,200,6
2018-01-01 07:00:00,0.0,4.1,3.3,2.2,7.1,87,991.3,14,220,2,11,0.0,25000,150,6
2018-01-01 08:00:00,0.0,3.9,3.2,2.2,7.1,88,991.9,16,220,2,11,0.0,25000,999,3
2018-01-01 09:00:00,0.0,4.3,3.5,2.3,7.2,87,992.4,16,210,2,11,0.2,30000,999,2
2018-01-01 10:00:00,0.0,4.9,4.0,2.8,7.4,86,993.2,16,220,2,11,0.1,30000,200,6
2018-01-01 11:00:00,0.0,5.9,4.8,3.3,7.7,83,994.3,19,230,25,82,0.1,30000,42,5
2018-01-01 12:00:00,0.0,6.9,5.5,3.6,7.9,80,995.2,20,250,3,81,0.1,30000,23,7
2018-01-01 13:00:00,0.0,7.6,6.2,4.3,8.4,80,996.6,22,260,80,22,0.1,30000,18,7
2018-01-01 14:00:00,0.4,6.5,5.5,4.2,8.2,85,998.5,23,280,80,82,0.0,35000,18,7
2018-01-01 15:00:00,0.0,6.8,5.3,3.3,7.7,78,1000.5,21,280,1,82,0.2,40000,26,7
2018-01-01 16:00:00,0.0,6.0,4.8,3.1,7.6,82,1002.4,20,270,2,11,0.0,40000,26,5
2018-01-01 17:00:00,0.0,5.6,4.6,3.2,7.7,84,1004.0,17,250,2,11,0.0,40000,999,3
2018-01-01 18:00:00,0.0,5.2,4.4,3.2,7.7,87,1005.1,14,250,3,81,0.0,40000,40,4
2018-01-01 19:00:00,0.0,4.9,4.0,2.8,7.4,86,1006.6,15,240,2,11,0.0,30000,250,6
2018-01-01 20:00:00,0.0,4.5,3.5,2.0,7.0,84,1007.6,14,250,2,11,0.0,30000,220,4
2018-01-01 21:00:00,0.0,3.8,2.7,0.9,6.5,82,1007.9,14,250,2,11,0.0,30000,999,3
2018-01-01 22:00:00,0.0,3.2,2.2,0.5,6.4,83,1008.8,13,240,2,11,0.0,20000,250,4
2018-01-01 23:00:00,0.0,3.5,2.4,0.6,6.4,81,1009.0,13,230,2,11,0.0,20000,250,6
2018-01-02 00:00:00,0.0,3.5,2.4,0.5,6.4,81,1009.0,13,210,2,11,0.0,25000,240,8
2018-01-02 01:00:00,0.0,3.7,2.4,0.3,6.2,78,1008.6,11,220,2,11,0.0,25000,140,8
2018-01-02 02:00:00,0.0,4.4,3.0,0.8,6.5,77,1008.3,11,220,2,11,0.0,25000,140,7
2018-01-02 03:00:00,0.0,4.7,3.2,0.8,6.5,76,1007.6,10,210,2,11,0.0,20000,120,8
2018-01-02 04:00:00,0.0,6.0,4.3,1.7,6.9,74,1005.6,10,200,2,11,0.0,18000,100,8
2018-01-02 05:00:00,0.0,6.9,5.2,2.7,7.5,75,1004.2,14,190,60,22,0.0,17000,80,8
2018-01-02 06:00:00,1.0,7.0,6.1,4.9,8.7,87,1003.0,12,180,63,62,0.0,7000,35,8
2018-01-02 07:00:00,2.4,7.1,6.4,5.5,9.0,90,999.6,16,190,61,66,0.0,12000,50,8
2018-01-02 08:00:00,0.0,8.0,7.2,6.2,9.5,89,998.3,21,190,21,62,0.0,16000,60,7
2018-01-02 09:00:00,0.3,8.6,7.9,7.1,10.1,90,998.2,22,200,60,62,0.0,20000,17,7
2018-01-02 10:00:00,0.1,8.5,7.8,6.9,10.0,90,998.1,20,220,21,61,0.0,30000,999,3
2018-01-02 11:00:00,0.0,9.2,8.3,7.3,10.2,88,998.1,17,220,15,11,0.3,30000,18,7
2018-01-02 12:00:00,0.0,9.2,8.0,6.7,9.8,84,998.2,19,240,15,61,0.3,30000,18,6
2018-01-02 13:00:00,0.0,9.3,8.0,6.6,9.7,83,997.1,16,220,2,11,0.0,30000,18,7
2018-01-02 14:00:00,0.0,9.1,7.9,6.5,9.7,84,996.9,15,220,2,11,0.0,30000,20,7
2018-01-02 15:00:00,0.6,8.4,7.6,6.6,9.8,89,995.2,15,220,60,62,0.0,12000,40,8
2018-01-02 16:00:00,1.3,8.2,7.5,6.6,9.8,90,992.2,12,190,61,66,0.0,10000,40,8
2018-01-02 17:00:00,0.6,8.3,7.6,6.7,9.9,90,988.3,15,190,61,66,0.0,9000,34,8
2018-01-02 18:00:00,0.4,9.6,8.8,7.9,10.7,89,983.5,22,200,50,65,0.0,16000,22,7
2018-01-02 19:00:00,0.2,10.4,9.1,7.8,10.5,83,982.4,27,210,21,65,0.0,16000,20,7
2018-01-02 20:00:00,0.0,8.4,6.8,4.7,8.6,78,983.5,34,250,2,11,0.0,20000,32,6
2018-01-02 21:00:00,0.0,7.8,6.1,3.9,8.1,76,983.6,29,250,2,11,0.0,20000,31,6
2018-01-02 22:00:00,0.2,6.3,5.0,3.3,7.7,80,983.8,28,250,80,82,0.0,20000,30,6
2018-01-02 23:00:00,1.1,5.5,4.9,4.0,8.2,91,984.3,26,240,81,82,0.0,18000,28,7
2018-01-03 00:00:00,0.3,4.7,3.8,2.4,7.3,85,985.3,24,240,25,82,0.0,20000,40,6
2018-01-03 01:00:00,0.1,4.8,3.8,2.3,7.2,84,986.1,24,250,80,82,0.0,20000,30,6
2018-01-03 02:00:00,0.0,5.1,4.2,3.0,7.5,86,986.7,21,240,25,82,0.0,20000,30,5
2018-01-03 03:00:00,0.0,5.7,4.7,3.2,7.7,85,987.5,23,240,2,82,0.0,20000,30,5
2018-01-03 04:00:00,0.8,4.9,4.2,3.2,7.7,89,988.7,23,250,80,82,0.0,20000,40,6
2018-01-03 05:00:00,0.0,4.7,4.0,2.9,7.6,89,989.4,22,240,25,82,0.0,20000,30,5
2018-01-03 06:00:00,0.1,5.7,5.0,4.1,8.2,89,990.3,19,240,80,82,0.0,20000,30,5
2018-01-03 07:00:00,0.5,6.2,5.2,3.9,8.0,85,991.7,22,240,25,82,0.0,20000,30,7
2018-01-03 08:00:00,0.0,6.5,5.4,3.8,8.1,84,992.5,23,250,80,82,0.0,20000,30,7
2018-01-03 09:00:00,0.4,6.5,5.4,4.0,8.1,84,993.8,23,250,80,82,0.0,20000,30,6
2018-01-03 10:00:00,0.0,6.0,4.9,3.3,7.8,83,994.9,24,250,25,81,0.1,20000,999,2
2018-01-03 11:00:00,0.1,6.5,5.6,4.4,8.4,87,995.8,24,250,80,82,0.0,16000,47,7
2018-01-03 12:00:00,0.9,6.8,5.9,4.8,8.6,87,995.9,21,250,80,81,0.0,5000,30,7
2018-01-03 13:00:00,0.1,7.4,6.1,4.5,8.4,81,996.3,23,250,80,82,0.0,16000,26,7
2018-01-03 14:00:00,0.0,7.5,6.1,4.2,8.3,80,996.3,23,250,25,82,0.0,20000,27,7
2018-01-03 15:00:00,0.0,7.3,6.0,4.4,8.3,81,996.4,23,250,80,82,0.0,16000,30,7
2018-01-03 16:00:00,0.0,7.5,6.1,4.2,8.3,80,996.6,26,240,25,82,0.0,20000,26,7
2018-01-03 17:00:00,0.0,7.3,6.0,4.2,8.3,81,997.0,24,250,2,11,0.0,20000,24,7
2018-01-03 18:00:00,0.0,7.3,6.0,4.2,8.3,81,997.5,22,230,2,82,0.0,20000,25,7
2018-01-03 19:00:00,0.0,7.1,5.8,4.2,8.2,81,997.7,19,240,2,11,0.0,20000,45,7
2018-01-03 20:00:00,0.0,7.2,5.8,3.9,8.1,80,997.2,20,250,2,11,0.0,20000,40,7
2018-01-03 21:00:00,0.0,7.0,5.4,3.3,7.7,77,996.5,17,240,2,11,0.0,20000,999,3
2018-01-03 22:00:00,0.0,5.8,4.6,2.9,7.5,82,996.9,16,220,2,11,0.0,20000,200,5
2018-01-03 23:00:00,0.0,5.8,4.9,3.7,7.9,86,996.4,16,220,2,11,0.0,20000,190,7
2018-01-04 00:00:00,0.0,6.2,5.3,4.0,8.2,86,996.2,14,230,2,11,0.0,20000,120,7
2018-01-04 01:00:00,0.0,6.3,5.3,3.9,8.1,85,995.1,14,210,2,11,0.0,20000,70,7
