,Route,Direction,Stop,Max,Min
0,61,1,1035,472.0,-111.0
0,70D,2,3340,42.0,-75.0
0,65B,1,1079,479.0,-62.0
0,49,1,4878,299.0,-45.0
0,111,1,3052,722.0,-804.0
0,84X,2,4295,702.0,-243.0
0,32X,2,770,129.0,-88.0
0,220,2,1587,453.0,-19.0
0,25A,1,4562,349.0,-34.0
0,38D,1,7167,143.0,-28.0
0,51D,1,2141,98.0,-16.0
0,41D,2,49,165.0,42.0
0,83,2,1071,258.0,-224.0
0,27,2,3952,194.0,-64.0
0,32X,2,3622,15.0,-19.0
0,63,1,3126,1259.0,-32.0
0,75,1,4712,300.0,-19.0
0,151,1,7514,955.0,-620.0
0,140,2,6366,831.0,-64.0
0,236,2,7102,51.0,-11.0
0,7A,1,3217,202.0,-185.0
0,27,2,1269,473.0,-42.0
0,84X,2,2060,289.0,-130.0
0,56A,1,2102,158.0,-80.0
0,61,1,843,1106.0,-186.0
0,140,1,6059,1563.0,-769.0
0,239,2,6073,401.0,-82.0
0,41X,2,333,507.0,468.0
0,79,2,5134,674.0,-28.0
0,111,1,3230,194.0,-39.0
0,65,2,7253,147.0,-131.0
0,145,2,4202,1415.0,-1443.0
0,77A,1,7460,2365.0,-23.0
0,142,1,7196,231.0,-46.0
0,69,1,4720,2304.0,-128.0
0,18,1,779,472.0,-116.0
0,18,1,2800,1298.0,-57.0
0,75,1,2019,263.0,-43.0
0,83A,1,2480,535.0,-88.0
0,145,2,2993,457.0,-258.0
0,120,1,4934,281.0,-75.0
0,16,2,1328,540.0,-30.0
0,79,1,4407,734.0,-193.0
0,7D,2,3227,35.0,-19.0
0,41C,2,4907,175.0,-57.0
0,84X,2,4296,357.0,-46.0
0,33E,1,3756,342.0,42.0
0,38,2,1697,245.0,-28.0
0,84A,1,4129,1300.0,-275.0
0,83,1,7423,1542.0,-155.0
0,65,1,4640,576.0,-158.0
0,65,2,2587,241.0,-60.0
0,83,1,7458,645.0,-384.0
0,31,1,546,466.0,-180.0
0,16D,1,1287,294.0,-129.0
0,66,1,3968,361.0,-144.0
0,41,2,7347,872.0,-295.0
0,49,2,1159,418.0,-71.0
0,31A,1,710,103.0,-89.0
0,77A,2,2188,1364.0,-52.0
0,40B,1,1552,163.0,-109.0
0,31B,2,607,117.0,-119.0
0,84,1,3130,977.0,-590.0
0,39A,1,1875,199.0,-38.0
0,184,2,4148,303.0,-90.0
0,27X,2,4596,175.0,-145.0
0,27,2,4645,360.0,-182.0
0,31,1,549,373.0,-106.0
