,Unnamed: 0,Route,Direction,Stop,Model,RMSE,MAE,Mean_MAE,Mean_RMSE
600,0,41D,2,277,lin_reg,1.5393270595867082e-13,1.3263464400855204e-13,7.066321281599783,9.58316173201324
601,1,41D,2,277,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
602,2,41D,2,277,random forest,25.395756425915817,15.388888888888888,7.066321281599783,9.58316173201324
1605,0,41D,1,1627,lin_reg,9.56175118108303e-13,8.206768598029157e-13,7.066321281599783,9.58316173201324
1606,1,41D,1,1627,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
1607,2,41D,1,1627,random forest,12.810585900383757,11.166666666666668,7.066321281599783,9.58316173201324
2907,0,41D,2,7603,lin_reg,2.144169892194976e-12,1.824910593010524e-12,7.066321281599783,9.58316173201324
2908,1,41D,2,7603,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
2909,2,41D,2,7603,random forest,4.9027581050911575,3.222222222222222,7.066321281599783,9.58316173201324
3441,0,41D,1,3675,lin_reg,7.142280010799062e-13,6.110667527536863e-13,7.066321281599783,9.58316173201324
3442,1,41D,1,3675,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3443,2,41D,1,3675,random forest,5.238744548500565,4.166666666666661,7.066321281599783,9.58316173201324
3525,0,41D,2,47,lin_reg,3.669502091522677e-12,3.083755473198835e-12,7.066321281599783,9.58316173201324
3526,1,41D,2,47,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3527,2,41D,2,47,random forest,17.156145643277025,11.22222222222222,7.066321281599783,9.58316173201324
3561,0,41D,1,18,lin_reg,4.959186181337647e-13,4.316547119742609e-13,7.066321281599783,9.58316173201324
3562,1,41D,1,18,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
3563,2,41D,1,18,random forest,7.3162680225493215,6.583333333333332,7.066321281599783,9.58316173201324
5739,0,41D,2,3699,lin_reg,7.224259600351277e-12,6.236535097871508e-12,7.066321281599783,9.58316173201324
5740,1,41D,2,3699,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
5741,2,41D,2,3699,random forest,11.63533207007657,6.619047619047618,7.066321281599783,9.58316173201324
6225,0,41D,2,1642,lin_reg,1.958831142032156e-14,1.7053025658242404e-14,7.066321281599783,9.58316173201324
6226,1,41D,2,1642,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
6227,2,41D,2,1642,random forest,2.804757862395017,2.133333333333333,7.066321281599783,9.58316173201324
6231,0,41D,1,1622,lin_reg,8.084263208077704e-13,7.003286839335487e-13,7.066321281599783,9.58316173201324
6232,1,41D,1,1622,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
6233,2,41D,1,1622,random forest,8.920949127381757,7.249999999999999,7.066321281599783,9.58316173201324
7671,0,41D,1,6054,lin_reg,9.04149926588324e-13,7.673861546209082e-13,7.066321281599783,9.58316173201324
7672,1,41D,1,6054,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
7673,2,41D,1,6054,random forest,15.687928834333457,15.666666666666666,7.066321281599783,9.58316173201324
8103,0,41D,2,288,lin_reg,2.4609233572944776e-12,2.013881125354341e-12,7.066321281599783,9.58316173201324
8104,1,41D,2,288,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
8105,2,41D,2,288,random forest,605.6101344269553,343.5714285714285,7.066321281599783,9.58316173201324
8754,0,41D,1,1171,lin_reg,1.2532169175906361e-12,1.0871303857129533e-12,7.066321281599783,9.58316173201324
8755,1,41D,1,1171,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
8756,2,41D,1,1171,random forest,38.8329756778952,34.0,7.066321281599783,9.58316173201324
10080,0,41D,1,3671,lin_reg,4.57790283344497e-13,4.014566457044566e-13,7.066321281599783,9.58316173201324
10081,1,41D,1,3671,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
10082,2,41D,1,3671,random forest,4.409585518440985,3.666666666666666,7.066321281599783,9.58316173201324
11442,0,41D,1,3676,lin_reg,1.441543946943484e-12,1.2221335055073725e-12,7.066321281599783,9.58316173201324
11443,1,41D,1,3676,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
11444,2,41D,1,3676,random forest,35.60313656594505,32.25,7.066321281599783,9.58316173201324
12138,0,41D,2,4432,lin_reg,1.9819387827669037e-12,1.6863547595373045e-12,7.066321281599783,9.58316173201324
12139,1,41D,2,4432,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
12140,2,41D,2,4432,random forest,4.37374320572546,2.722222222222222,7.066321281599783,9.58316173201324
12708,0,41D,1,1172,lin_reg,4.922784477141924e-13,4.263256414560601e-13,7.066321281599783,9.58316173201324
12709,1,41D,1,1172,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
12710,2,41D,1,1172,random forest,7.661229956374136,6.916666666666667,7.066321281599783,9.58316173201324
13005,0,41D,1,7602,lin_reg,7.808134046481582e-13,6.732392421326949e-13,7.066321281599783,9.58316173201324
13006,1,41D,1,7602,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
13007,2,41D,1,7602,random forest,8.139410298049853,7.75,7.066321281599783,9.58316173201324
13440,0,41D,1,5073,lin_reg,1.4371945416963321e-12,1.2363443602225745e-12,7.066321281599783,9.58316173201324
13441,1,41D,1,5073,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
13442,2,41D,1,5073,random forest,12.484434753368332,11.583333333333332,7.066321281599783,9.58316173201324
14001,0,41D,2,52,lin_reg,5.297546817032111e-12,4.494182803682634e-12,7.066321281599783,9.58316173201324
14002,1,41D,2,52,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
14003,2,41D,2,52,random forest,13.935034452242489,10.333333333333332,7.066321281599783,9.58316173201324
14817,0,41D,2,1635,lin_reg,2.912358572177595e-14,2.5579538487363607e-14,7.066321281599783,9.58316173201324
14818,1,41D,2,1635,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
14819,2,41D,2,1635,random forest,7.767453465154031,5.133333333333336,7.066321281599783,9.58316173201324
15720,0,41D,2,1638,lin_reg,6.882515148238468e-13,5.798028723802417e-13,7.066321281599783,9.58316173201324
15721,1,41D,2,1638,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
15722,2,41D,2,1638,random forest,12.287301484775972,8.400000000000002,7.066321281599783,9.58316173201324
15849,0,41D,2,51,lin_reg,1.3528395330957391e-11,1.152974012560056e-11,7.066321281599783,9.58316173201324
15850,1,41D,2,51,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
15851,2,41D,2,51,random forest,20.40560925061756,15.83333333333333,7.066321281599783,9.58316173201324
16050,0,41D,1,3674,lin_reg,5.030823212396433e-13,4.227729277772596e-13,7.066321281599783,9.58316173201324
16051,1,41D,1,3674,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
16052,2,41D,1,3674,random forest,15.102428060856088,13.750000000000002,7.066321281599783,9.58316173201324
17259,0,41D,2,48,lin_reg,2.459279491473285e-12,2.0558369821325564e-12,7.066321281599783,9.58316173201324
17260,1,41D,2,48,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
17261,2,41D,2,48,random forest,8.928730157319249,7.055555555555556,7.066321281599783,9.58316173201324
17427,0,41D,2,5079,lin_reg,2.8421709430404014e-14,1.4210854715202004e-14,7.066321281599783,9.58316173201324
17428,1,41D,2,5079,decision Tree,0.0,0.0,7.066321281599783,9.58316173201324
17429,2,41D,2,5079,random forest,10.337364804973811,9.416666666666671,7.066321281599783,9.58316173201324
18888,0,41D,1,19,lin_reg,1.5239443903799965e-13,1.3500311979441906e-13,7.066321281599783,9.58316173201324
