,Route,Direction,Stop,Model,RMSE,MAE
0,66A,2,3373,lin_reg,48.049097107232015,24.635183997682827
1,66A,2,3373,decision Tree,1.40139477738024,0.16721351766513057
2,66A,2,3373,random forest,25.914075170614467,11.655648429264179
0,67,1,7075,lin_reg,13.586329320002271,9.706591794131999
1,67,1,7075,decision Tree,4.195723790961689,1.5177363823758323
2,67,1,7075,random forest,8.286044344429929,5.07023056772118
0,40D,2,7073,lin_reg,96.27446590934736,50.12453888396632
1,40D,2,7073,decision Tree,0.0,0.0
2,40D,2,7073,random forest,58.676542729328105,24.071333333333335
0,67X,2,3928,lin_reg,34.27727080792497,21.52622467704748
1,67X,2,3928,decision Tree,0.3282298076498145,0.027624309392265192
2,67X,2,3928,random forest,16.69905386051259,9.63965623081645
0,7D,2,3203,lin_reg,17.774912335633008,13.828309758746776
1,7D,2,3203,decision Tree,0.0,0.0
2,7D,2,3203,random forest,11.384552019792348,7.148148148148149
0,31B,1,546,lin_reg,21.956763228521982,16.182091497724464
1,31B,1,546,decision Tree,0.0,0.0
2,31B,1,546,random forest,11.640555607626549,7.4594423320659065
0,63,1,2047,lin_reg,43.08434153974649,31.350458960471553
1,63,1,2047,decision Tree,11.511613317506278,3.776324735847506
2,63,1,2047,random forest,26.230763911772268,15.693914106064991
0,17,2,3011,lin_reg,37.12612394257716,18.843263630569425
1,17,2,3011,decision Tree,3.0817727310826895,0.6909173486037556
2,17,2,3011,random forest,20.117935794523426,8.576513330707597
0,25,2,2231,lin_reg,33.56357384587213,17.220528887879034
1,25,2,2231,decision Tree,2.141141073495892,0.43996697391626016
2,25,2,2231,random forest,18.976784635706192,7.405474598352549
0,4,1,39,lin_reg,21.102560662376458,14.879498659774832
1,4,1,39,decision Tree,5.472146345468434,1.9746324995753914
2,4,1,39,random forest,13.30446256914894,7.789602992685671
0,7,1,3041,lin_reg,21.843817567605594,15.814409921200987
1,7,1,3041,decision Tree,4.364757281378765,1.2044830980291785
2,7,1,3041,random forest,12.494798333354035,7.698393989179813
0,84,2,4148,lin_reg,28.920885645390925,17.932413990133192
1,84,2,4148,decision Tree,3.0562842199856903,0.6537479321221011
2,84,2,4148,random forest,16.531875373307766,8.946107204037164
0,9,1,1285,lin_reg,55.3456184950347,39.07671785153493
1,9,1,1285,decision Tree,17.214712146790077,7.131397455517225
2,9,1,1285,random forest,30.805593650940647,19.82526341509379
0,40B,2,7022,lin_reg,12.49834900474192,8.678261759503382
1,40B,2,7022,decision Tree,0.02151657414559676,0.000925925925925926
2,40B,2,7022,random forest,6.125908011976136,3.5719135802469135
0,31D,2,1188,lin_reg,114.9963915071994,84.0947583709604
1,31D,2,1188,decision Tree,0.0,0.0
2,31D,2,1188,random forest,70.62242404914419,37.256594724220626
0,220,1,4364,lin_reg,28.094945214770313,19.481661373287743
1,220,1,4364,decision Tree,2.36297486222911,0.48657576567745003
2,220,1,4364,random forest,14.714961563170865,8.442815554169265
0,16C,1,219,lin_reg,33.41770116092689,24.047020772798017
1,16C,1,219,decision Tree,0.0,0.0
2,16C,1,219,random forest,17.103949501995956,9.683574879227054
0,69X,1,3441,lin_reg,11.90108902001595,8.796124608323124
1,69X,1,3441,decision Tree,0.0,0.0
2,69X,1,3441,random forest,6.076752111204954,3.8752228163992872
0,40D,2,7097,lin_reg,91.81881062606732,42.3467900926077
1,40D,2,7097,decision Tree,18.019505181146357,4.917894009892923
2,40D,2,7097,random forest,57.32955043647776,22.734542283882956
0,65,1,4007,lin_reg,6.881336226205721,4.522120214634044
1,65,1,4007,decision Tree,1.0298496635714804,0.19216045586899003
2,65,1,4007,random forest,4.049604891345234,2.2454565967615054
0,32X,2,496,lin_reg,86.16284918000457,63.73274001011507
1,32X,2,496,decision Tree,0.0,0.0
2,32X,2,496,random forest,54.852258171721765,34.3042071197411
0,77A,2,2568,lin_reg,20.634549890027397,14.429037041568542
1,77A,2,2568,decision Tree,4.482831990629002,1.2693987842933374
2,77A,2,2568,random forest,11.847865129068126,7.0322601525410615
0,7B,2,7419,lin_reg,58.903979834472906,43.80241091868068
1,7B,2,7419,decision Tree,1.4240411512837157,0.1662603021978022
2,7B,2,7419,random forest,31.825159446725852,18.676339285714285
0,14,2,2847,lin_reg,18.249406703531722,13.803370784158277
1,14,2,2847,decision Tree,5.86916713583922,2.176601836938639
2,14,2,2847,random forest,11.533561066229366,7.424180599796919
0,31A,1,710,lin_reg,20.427425254082,15.217497286814593
1,31A,1,710,decision Tree,0.06003002251876642,0.0029484029484029483
2,31A,1,710,random forest,11.548499494213115,6.868796068796069
0,236,2,4321,lin_reg,18.804807072529872,14.06427142931286
1,236,2,4321,decision Tree,0.0,0.0
2,236,2,4321,random forest,11.116177706621064,6.728093947606142
0,32X,1,3588,lin_reg,14.445292455068383,11.047857514982258
1,32X,1,3588,decision Tree,0.0,0.0
2,32X,1,3588,random forest,8.630638603563122,5.557971014492753
0,69,2,4672,lin_reg,21.15444471132894,15.888788535383854
1,69,2,4672,decision Tree,2.588526836150521,0.4607470516271693
2,69,2,4672,random forest,11.649232507498716,7.0172411580048255
0,102,1,6015,lin_reg,22.097693332768472,15.100043252718097
1,102,1,6015,decision Tree,6.789955417445461,2.5808304934062636
2,102,1,6015,random forest,13.414389082384337,7.684296361223323
0,79,1,2909,lin_reg,51.1600159654383,15.253672597247153
1,79,1,2909,decision Tree,2.411332509784465,0.632967765609519
2,79,1,2909,random forest,35.121998044160314,8.309777147640446
0,14,2,2998,lin_reg,27.167125760494617,18.476870188961083
1,14,2,2998,decision Tree,9.799586290781244,4.217721717469644
2,14,2,2998,random forest,18.273567480127333,10.059563485664134
0,67,2,2251,lin_reg,15.540546447975348,11.24684688262952
1,67,2,2251,decision Tree,1.7432267731434496,0.37429821678774505
2,67,2,2251,random forest,8.783717088895369,5.0594781586036275
0,66B,1,2191,lin_reg,31.278795232948017,23.475241407395092
1,66B,1,2191,decision Tree,2.331036540897333,0.31557900396065186
2,66B,1,2191,random forest,17.14389823035892,10.35887334406954
0,66,1,2198,lin_reg,18.910409766767334,14.41471818447657
1,66,1,2198,decision Tree,3.5534290281218133,0.8571849513277066
2,66,1,2198,random forest,10.587912362868243,6.689298940037498
0,43,2,665,lin_reg,26.21545135835079,16.888083678321806
1,43,2,665,decision Tree,5.628751942859543,1.7133241200900162
2,43,2,665,random forest,14.363447907249157,8.415562979358473
0,65B,2,1158,lin_reg,28.936734153217806,21.504325358200536
1,65B,2,1158,decision Tree,9.853907938631133,3.6606799479661936
2,65B,2,1158,random forest,16.788907249561216,10.548443523142833
0,66,1,7391,lin_reg,654.691890870073,477.09605613138046
1,66,1,7391,decision Tree,0.0,0.0
2,66,1,7391,random forest,404.41491148932755,272.84523809523813
0,33B,1,3726,lin_reg,41.63001649190473,25.225265641427956
1,33B,1,3726,decision Tree,0.5577014039647802,0.02014826078692264
